x_sample [mm],y_sample [mm],theta1 [rad],theta2 [rad],Fx [N],Fy [N]
-350.0,-100.0,0.9335839828724279,-0.7592615241841559,-0.08993292600405232,0.5513048782845564
-350.0,-90.0,0.9396219857623742,-0.7200268763113532,-0.07083274850123389,0.5506430075282541
-350.0,-80.0,0.948925742677305,-0.6863384437561312,-0.052227034324532566,0.5496338207258211
-350.0,-70.0,0.9611422972375894,-0.6575767141555422,-0.03407198741076356,0.5483284596607044
-350.0,-60.0,0.9760080892503691,-0.6332995421049408,-0.01633832633301293,0.5467705726286264
-350.0,-50.0,0.9933194800443266,-0.6131852193824544,0.0009936591601561987,0.5449990941657366
-350.0,-40.0,1.0129149576782268,-0.5969978631723587,0.01793714746172428,0.5430499597099113
-350.0,-30.0,1.0346640115012136,-0.5845655085481629,0.034500739425039215,0.540957206236432
-340.0,-130.0,0.8466821920893666,-0.7592615241841559,-0.13744265911552664,0.5414189832793574
-340.0,-120.0,0.8457078522658819,-0.7079948736637924,-0.11730769230769224,0.5415384615384615
-340.0,-110.0,0.8486220115986285,-0.6632622018136693,-0.09771171169220337,0.5411815050407579
-340.0,-100.0,0.8549065477978282,-0.6241101148720859,-0.07858653071040028,0.5404157262616469
-340.0,-90.0,0.8641918559385342,-0.5898772416117296,-0.05988782899142026,0.5392943982081534
-340.0,-80.0,0.876201763176693,-0.5600884641772985,-0.04158631185130438,0.5378620442702813
-340.0,-70.0,0.8907219238140232,-0.5343941122657836,-0.023662587938871774,0.5361577024831735
-340.0,-60.0,0.9075805920079554,-0.5125328019469078,-0.006103994646365749,0.5342169421212295
-340.0,-50.0,0.9266364217818293,-0.49430764384340087,0.011097477745784345,0.5320731584920271
-340.0,-40.0,0.9477705118089217,-0.4795704780186558,0.02794660137404077,0.5297584236910636
-340.0,-30.0,0.9708811581856205,-0.46821118862981836,0.044445904544150365,0.5273040504009543
-340.0,-20.0,0.9958804252271887,-0.46015039778937283,0.06059637959065712,0.5247409635053327
-340.0,-10.0,1.0226920004334215,-0.4553345264197266,0.07639798375832024,0.5220999406987741
-330.0,-150.0,0.7732332421891916,-0.7363280440583058,-0.16760361275952715,0.5307862366244573
-330.0,-140.0,0.7683387287851993,-0.6785852289080896,-0.14697276264591444,0.5314357976653696
-330.0,-130.0,0.7676136427506668,-0.6277763987106925,-0.12687957751594653,0.5315322876452332
-330.0,-120.0,0.7704699074512011,-0.5828003075004872,-0.10724705782331959,0.5311525850339445
-330.0,-110.0,0.7764954153478087,-0.5429008930168455,-0.08802583414809134,0.5303550249809393
-330.0,-100.0,0.785386715423285,-0.5075382809947111,-0.06918374792513095,0.5291867430529906
-330.0,-90.0,0.7969110155940249,-0.4763159672371846,-0.05069993251965471,0.5276878971916092
-330.0,-80.0,0.8108832807831678,-0.4489368678480212,-0.032561193202025024,0.5258942561934484
-330.0,-70.0,0.8271517344833761,-0.42517537675505634,-0.014759653822055243,0.523838861310473
-330.0,-60.0,0.8455883468872956,-0.4048588593931255,0.002708853714724569,0.5215531249178287
-330.0,-50.0,0.8660824488437973,-0.38785500271316486,0.019845939493677165,0.5190675665899511
-330.0,-40.0,0.8885364039640926,-0.37406296907943637,0.03665150416480613,0.516412303535128
-330.0,-30.0,0.9128626992111522,-0.36340712890586024,0.053124378311314745,0.513617367725271
-330.0,-20.0,0.9389820567675042,-0.3558326183402005,0.06926280700982027,0.5107128973945345
-330.0,-10.0,0.9668223134638985,-0.35130224976665225,0.08506481166025931,0.5077292367169776
-330.0,0.0,0.9963179028700431,-0.3497944790289247,0.1005284476091024,0.5046969696969696
-320.0,-170.0,0.7104495237371533,-0.7342736241627179,-0.19975727484420294,0.5193476977390172
-320.0,-160.0,0.7008778235323696,-0.6689803454896078,-0.1786088691029127,0.5206955654485437
-320.0,-150.0,0.6959284861618205,-0.6113749642704229,-0.158020125368054,0.5213968162337247
-320.0,-140.0,0.6948819887752027,-0.5600884641772985,-0.1378960852139567,0.521545462718894
-320.0,-130.0,0.697249376462632,-0.5142017417058655,-0.1181769109773396,0.5212093799154559
-320.0,-120.0,0.702679869194061,-0.4730686970665614,-0.09882409059975203,0.5204409660250929
-320.0,-110.0,0.7109104896384606,-0.4362199250475354,-0.07981290633954706,0.5192830634457807
-320.0,-100.0,0.7217364363639289,-0.4033061468772221,-0.06112797089795733,0.5177725090943884
-320.0,-90.0,0.7349926214245364,-0.37406296907943637,-0.04276039524838775,0.5159423888363911
